model,ERA,SWCF,SST_STD,Coupling
MIROC5,CMIP5,,0.31,0.24
HadGEM2-ES,CMIP5,,0.42,0.7
EC-EARTH,CMIP5,,0.24,0.56
CSIRO-Mk3-6-0,CMIP5,,0.33,0.69
CMCC-CMS,CMIP5,,0.21,0.12
CMCC-CM,CMIP5,,0.38,1.63
BNU-ESM,CMIP5,,0.19,0.22
NorESM2-LM,CMIP6,,0.42,1.42
MCM-UA-1-0,CMIP6,,0.36,0.44
FIO-ESM-2-0,CMIP6,,0.29,1.26
E3SM-1-1-ECA,CMIP6,,0.26,0.51
CESM2-FV2,CMIP6,,0.21,0.54
CAMS-CSM1-0,CMIP6,,0.19,0.67
CESM2,CMIP6,12.0,0.46,1.43
CESM2-WACCM,CMIP6,11.81,0.4,0.97
NorESM2-MM,CMIP6,8.56,0.29,0.8
CESM2-WACCM-FV2,CMIP6,7.79,0.43,1.75
IPSL-CM5B-LR,CMIP5,7.54,0.24,0.63
KIOST-ESM,CMIP6,7.35,0.43,0.74
ACCESS1-0,CMIP5,6.6,0.41,0.85
GFDL-CM4,CMIP6,6.57,0.34,0.37
MRI-ESM2-0,CMIP6,6.01,0.41,1.45
MIROC-ESM,CMIP5,5.99,0.32,1.31
MIROC-ESM-CHEM,CMIP5,5.94,0.37,1.75
SAM0-UNICON,CMIP6,5.78,0.27,0.54
ACCESS-ESM1-5,CMIP6,5.63,0.19,-0.17
E3SM-2-0,CMIP6,5.5,0.27,0.56
GFDL-ESM4,CMIP6,5.45,0.23,-0.0
HadGEM2-CC,CMIP5,5.41,0.38,0.6
ACCESS1-3,CMIP5,5.37,0.29,0.76
HadGEM3-GC31-LL,CMIP6,5.3,0.3,0.65
IPSL-CM5A-MR,CMIP5,4.68,0.34,0.76
HadGEM3-GC31-MM,CMIP6,4.67,0.24,0.53
FGOALS-f3-L,CMIP6,4.63,0.18,0.2
MIROC6,CMIP6,4.6,0.19,-0.03
E3SM-1-0,CMIP6,4.54,0.31,0.75
CMCC-CM2-SR5,CMIP6,4.53,0.39,0.49
IPSL-CM5A-LR,CMIP5,4.48,0.26,1.02
CanESM2,CMIP5,4.4,0.22,0.21
IPSL-CM6A-LR,CMIP6,4.38,0.27,0.48
bcc-csm1-1-m,CMIP5,4.31,0.18,0.49
CMCC-CESM,CMIP5,4.29,0.23,0.28
IPSL-CM5A2-INCA,CMIP6,4.19,0.2,0.46
INM-CM5-0,CMIP6,4.19,0.16,-0.0
E3SM-1-1,CMIP6,3.94,0.32,0.36
CMCC-ESM2,CMIP6,3.94,0.45,0.9
CanESM5,CMIP6,3.88,0.28,0.22
GFDL-ESM2G,CMIP5,3.75,0.2,0.27
CanESM5-1,CMIP6,3.62,0.23,-0.11
bcc-csm1-1,CMIP5,3.54,0.13,0.3
GFDL-CM3,CMIP5,3.37,0.21,0.12
INM-CM4-8,CMIP6,3.37,0.25,0.02
CIESM,CMIP6,3.34,0.22,0.13
BCC-CSM2-MR,CMIP6,3.34,0.24,0.23
GFDL-ESM2M,CMIP5,3.2,0.29,0.68
ACCESS-CM2,CMIP6,3.09,0.3,1.31
NorESM1-F,CMIP6,2.99,0.17,-0.0
MRI-CGCM3,CMIP5,2.85,0.19,0.38
NorESM1-ME,CMIP5,2.83,0.15,0.28
EC-Earth3-Veg,CMIP6,2.83,0.3,0.66
MPI-ESM-P,CMIP5,2.82,0.33,-0.59
CCSM4,CMIP5,2.82,0.2,0.42
MPI-ESM-LR,CMIP5,2.81,0.23,-0.27
EC-Earth3-AerChem,CMIP6,2.81,0.16,0.22
EC-Earth3,CMIP6,2.76,0.21,0.69
EC-Earth3-CC,CMIP6,2.69,0.27,0.33
CESM1-FASTCHEM,CMIP5,2.65,0.25,0.25
BCC-ESM1,CMIP6,2.62,0.18,0.28
MPI-ESM1-2-HR,CMIP6,2.54,0.19,-0.04
EC-Earth3-LR,CMIP6,2.47,0.3,0.51
CESM1-CAM5,CMIP5,2.46,0.21,0.14
CESM1-BGC,CMIP5,2.46,0.26,0.71
EC-Earth3-Veg-LR,CMIP6,2.44,0.25,0.25
MPI-ESM-MR,CMIP5,2.28,0.27,-0.15
MPI-ESM-1-2-HAM,CMIP6,2.23,0.22,0.29
NorCPM1,CMIP6,2.2,0.17,0.69
NorESM1-M,CMIP5,2.1,0.2,0.62
IITM-ESM,CMIP6,2.02,0.21,0.3
inmcm4,CMIP5,1.87,0.15,0.05
CESM1-WACCM,CMIP5,1.81,0.27,0.91
FGOALS-g3,CMIP6,1.69,0.19,0.46
NESM3,CMIP6,1.62,0.28,0.22
MPI-ESM1-2-LR,CMIP6,1.12,0.29,0.61
FIO-ESM,CMIP5,1.07,0.23,0.22
CNRM-CM5,CMIP5,1.0,0.21,0.17
GISS-E2-1-H,CMIP6,0.91,0.18,0.2
CNRM-CM5-2,CMIP5,0.85,0.22,0.22
GISS-E2-2-H,CMIP6,0.62,0.3,0.01
GISS-E2-2-G,CMIP6,0.16,0.17,0.22
GISS-E2-H,CMIP5,0.06,0.14,0.18
GISS-E2-1-G,CMIP6,0.05,0.18,-0.04
GISS-E2-H-CC,CMIP5,-0.0,0.17,0.3
GISS-E2-R-CC,CMIP5,-0.85,0.1,0.21
CAS-ESM2-0,CMIP6,-0.98,0.19,0.26
